transaction_id,user_id,transaction_time,amount,country,payment_method,card_id,device_id,tx_type,is_chargeback
18,U0001,2025-02-03 02:09:40,11.97,IT,card,C0001_2,D0001_2,purchase,0
4,U0001,2025-02-03 13:18:36,13.8,PL,card,C0001_1,D0001_2,purchase,0
9,U0001,2025-02-05 19:59:03,12.15,DE,bank_transfer,,D0001_1,purchase,0
11,U0001,2025-02-06 19:19:03,29.18,GB,card,C0001_1,D0001_1,purchase,0
3,U0001,2025-02-06 22:14:32,25.52,PL,card,C0001_1,D0001_1,purchase,0
15,U0001,2025-02-07 06:38:13,11.41,CZ,card,C0001_1,D0001_2,purchase,0
16,U0001,2025-02-08 22:01:25,37.13,ES,bank_transfer,,D0001_1,purchase,0
6,U0001,2025-02-11 11:12:04,30.55,CZ,card,C0001_2,D0001_2,purchase,0
7,U0001,2025-02-11 23:13:12,18.04,DE,card,C0001_2,D0001_1,purchase,0
8,U0001,2025-02-13 03:07:05,14.82,CZ,card,C0001_2,D0001_1,purchase,0
1,U0001,2025-02-13 10:23:32,43.14,MT,wallet,,D0001_2,purchase,0
14,U0001,2025-02-16 02:10:24,39.49,MT,card,C0001_2,D0001_2,purchase,0
13,U0001,2025-02-19 15:42:22,8.94,SE,card,C0001_1,D0001_2,purchase,0
5,U0001,2025-02-20 08:30:31,51.09,BG,card,C0001_2,D0001_1,purchase,0
2,U0001,2025-02-21 18:16:02,20.29,CZ,card,C0001_2,D0001_1,purchase,0
12,U0001,2025-02-22 13:20:07,16.72,CZ,card,C0001_1,D0001_1,purchase,0
10,U0001,2025-02-23 20:12:02,27.97,NL,card,C0001_1,D0001_2,purchase,0
19,U0001,2025-02-27 03:39:19,32.07,IT,card,C0001_1,D0001_1,purchase,0
17,U0001,2025-02-28 15:56:36,20.38,PL,card,C0001_1,D0001_1,purchase,0
81,U0002,2025-02-01 02:17:46,9.38,CZ,card,C0002_1,D0002_1,purchase,0
28,U0002,2025-02-01 03:38:09,13.34,PL,card,C0002_2,D0002_1,purchase,0
59,U0002,2025-02-01 08:58:00,28.69,CZ,bank_transfer,,D0002_1,purchase,0
38,U0002,2025-02-01 18:31:41,19.17,DE,card,C0002_2,D0002_2,purchase,0
86,U0002,2025-02-01 21:51:19,33.54,MT,card,C0002_1,D0002_1,purchase,0
92,U0002,2025-02-02 01:41:05,32.62,BG,card,C0002_2,D0002_1,purchase,0
60,U0002,2025-02-02 09:41:53,8.61,RO,wallet,,D0002_2,purchase,0
88,U0002,2025-02-02 16:03:32,20.68,SE,card,C0002_2,D0002_2,purchase,0
72,U0002,2025-02-03 12:29:35,16.59,FR,card,C0002_2,D0002_1,purchase,0
100,U0002,2025-02-03 13:44:20,30.22,NL,card,C0002_2,D0002_2,purchase,0
37,U0002,2025-02-03 17:57:59,27.0,BG,card,C0002_1,D0002_1,purchase,0
43,U0002,2025-02-04 07:07:00,14.79,FR,card,C0002_2,D0002_2,purchase,0
33,U0002,2025-02-04 14:45:05,12.05,MT,card,C0002_2,D0002_2,purchase,0
69,U0002,2025-02-04 22:51:36,38.49,NL,card,C0002_2,D0002_2,purchase,0
96,U0002,2025-02-05 03:33:45,22.68,DE,card,C0002_1,D0002_1,purchase,0
27,U0002,2025-02-05 07:11:59,19.42,DE,card,C0002_2,D0002_1,purchase,0
93,U0002,2025-02-05 08:54:27,17.81,RU,card,C0002_1,D0002_2,purchase,0
36,U0002,2025-02-05 12:47:44,11.76,IR,bank_transfer,,D0002_1,purchase,0
48,U0002,2025-02-05 14:18:18,14.7,PL,card,C0002_2,D0002_2,purchase,0
68,U0002,2025-02-05 17:38:14,12.1,NL,bank_transfer,,D0002_2,purchase,0
42,U0002,2025-02-05 22:25:29,57.08,CZ,card,C0002_1,D0002_2,purchase,0
77,U0002,2025-02-05 23:04:16,44.7,IT,card,C0002_1,D0002_1,purchase,0
91,U0002,2025-02-06 00:22:40,39.73,RU,card,C0002_1,D0002_2,purchase,0
41,U0002,2025-02-06 06:43:55,36.09,UA,card,C0002_1,D0002_1,purchase,0
50,U0002,2025-02-07 08:01:18,12.97,RO,card,C0002_2,D0002_1,purchase,0
61,U0002,2025-02-07 23:30:34,18.49,SE,card,C0002_2,D0002_2,purchase,0
52,U0002,2025-02-08 10:53:36,88.02,CZ,card,C0002_2,D0002_2,purchase,0
30,U0002,2025-02-08 22:53:25,19.12,IT,card,C0002_1,D0002_1,purchase,0
54,U0002,2025-02-09 07:26:52,21.18,TR,card,C0002_1,D0002_1,purchase,0
65,U0002,2025-02-10 10:24:48,13.04,CZ,wallet,,D0002_1,purchase,0
39,U0002,2025-02-11 06:17:56,11.77,CZ,card,C0002_1,D0002_2,purchase,0
34,U0002,2025-02-11 07:26:20,40.57,DE,wallet,,D0002_2,purchase,0
79,U0002,2025-02-11 15:38:45,41.02,UA,card,C0002_2,D0002_1,purchase,0
20,U0002,2025-02-11 23:01:57,11.09,UA,wallet,,D0002_1,purchase,0
51,U0002,2025-02-12 02:51:12,48.15,GB,bank_transfer,,D0002_1,purchase,0
98,U0002,2025-02-12 15:13:51,29.62,DE,card,C0002_2,D0002_2,purchase,0
82,U0002,2025-02-13 00:17:24,33.6,PL,card,C0002_1,D0002_1,purchase,0
23,U0002,2025-02-13 16:53:48,31.84,FR,card,C0002_1,D0002_1,purchase,0
63,U0002,2025-02-13 18:49:09,27.27,CZ,card,C0002_1,D0002_1,purchase,0
64,U0002,2025-02-14 03:57:46,69.16,DE,card,C0002_1,D0002_2,purchase,0
26,U0002,2025-02-14 04:31:02,30.39,CZ,card,C0002_1,D0002_2,purchase,0
67,U0002,2025-02-14 15:39:43,40.32,ES,card,C0002_1,D0002_1,purchase,0
29,U0002,2025-02-14 16:06:25,31.46,FR,card,C0002_1,D0002_2,purchase,0
73,U0002,2025-02-14 16:18:09,25.62,PL,card,C0002_2,D0002_1,purchase,0
21,U0002,2025-02-14 16:47:34,19.55,UA,card,C0002_1,D0002_2,purchase,0
102,U0002,2025-02-15 08:39:20,28.05,SE,bank_transfer,,D0002_1,purchase,0
95,U0002,2025-02-16 07:13:56,10.11,NL,card,C0002_1,D0002_2,purchase,0
25,U0002,2025-02-17 02:16:21,13.28,DE,card,C0002_2,D0002_1,purchase,0
74,U0002,2025-02-17 03:20:21,34.97,CZ,card,C0002_2,D0002_1,purchase,0
55,U0002,2025-02-17 03:41:12,10.75,MT,card,C0002_1,D0002_1,purchase,0
99,U0002,2025-02-17 07:36:32,18.63,DE,card,C0002_1,D0002_1,purchase,0
35,U0002,2025-02-18 06:58:55,22.33,CZ,wallet,,D0002_1,purchase,0
101,U0002,2025-02-18 07:35:20,20.01,ES,card,C0002_2,D0002_2,purchase,0
47,U0002,2025-02-18 20:10:44,25.9,DE,wallet,,D0002_1,purchase,0
32,U0002,2025-02-19 02:51:10,29.03,NL,card,C0002_1,D0002_1,purchase,0
75,U0002,2025-02-19 17:29:29,17.42,GB,card,C0002_1,D0002_2,purchase,0
66,U0002,2025-02-19 21:59:32,69.37,DE,card,C0002_2,D0002_2,purchase,0
62,U0002,2025-02-21 03:13:45,21.09,ES,bank_transfer,,D0002_2,purchase,0
78,U0002,2025-02-21 04:13:26,14.98,PL,card,C0002_2,D0002_1,purchase,0
90,U0002,2025-02-21 13:09:30,14.84,CZ,card,C0002_2,D0002_1,purchase,0
94,U0002,2025-02-22 06:06:27,29.88,CZ,wallet,,D0002_2,purchase,0
71,U0002,2025-02-22 23:55:11,13.35,CZ,card,C0002_2,D0002_1,purchase,0
44,U0002,2025-02-23 00:36:08,11.07,CZ,card,C0002_2,D0002_2,purchase,0
22,U0002,2025-02-23 10:47:04,21.69,MT,wallet,,D0002_1,purchase,0
87,U0002,2025-02-23 14:32:31,11.27,CZ,bank_transfer,,D0002_1,purchase,0
31,U0002,2025-02-24 00:14:16,22.31,ES,card,C0002_2,D0002_2,purchase,0
49,U0002,2025-02-24 00:25:41,50.58,PL,bank_transfer,,D0002_1,purchase,0
24,U0002,2025-02-24 00:28:06,17.86,IT,card,C0002_2,D0002_1,purchase,0
56,U0002,2025-02-24 01:16:52,32.55,NL,card,C0002_2,D0002_1,purchase,0
104,U0002,2025-02-24 09:12:51,35.43,MT,bank_transfer,,D0002_1,purchase,0
89,U0002,2025-02-24 10:43:01,15.46,CZ,card,C0002_1,D0002_2,purchase,0
80,U0002,2025-02-24 21:04:13,7.37,FR,card,C0002_2,D0002_2,purchase,0
85,U0002,2025-02-25 00:41:45,16.07,CZ,card,C0002_2,D0002_1,purchase,0
40,U0002,2025-02-25 03:40:43,19.49,FR,bank_transfer,,D0002_1,purchase,0
58,U0002,2025-02-25 05:40:54,86.13,FR,card,C0002_1,D0002_1,purchase,0
45,U0002,2025-02-26 01:56:27,20.15,IT,card,C0002_1,D0002_1,purchase,0
76,U0002,2025-02-26 19:36:38,28.85,DE,card,C0002_2,D0002_1,purchase,0
103,U0002,2025-02-26 20:24:19,22.15,PL,card,C0002_2,D0002_2,purchase,0
53,U0002,2025-02-27 02:31:36,12.15,FR,card,C0002_1,D0002_2,purchase,0
46,U0002,2025-02-27 12:30:16,16.16,MT,card,C0002_1,D0002_1,purchase,0
70,U0002,2025-02-27 17:21:43,12.14,PL,card,C0002_1,D0002_1,purchase,0
84,U0002,2025-02-28 00:34:30,26.65,MT,bank_transfer,,D0002_2,purchase,0
83,U0002,2025-02-28 01:03:36,18.48,PL,card,C0002_2,D0002_2,purchase,0
97,U0002,2025-02-28 03:13:05,27.01,DE,card,C0002_2,D0002_2,purchase,0
57,U0002,2025-02-28 12:06:31,24.53,RO,card,C0002_1,D0002_1,purchase,0
148,U0003,2025-02-01 10:47:34,8.89,SE,card,C0003_1,D0003_1,purchase,0
168,U0003,2025-02-01 16:57:01,44.75,FR,card,C0003_1,D0003_1,purchase,0
107,U0003,2025-02-01 17:01:12,15.93,CZ,card,C0003_1,D0003_1,purchase,0
111,U0003,2025-02-01 17:04:34,42.04,RU,card,C0003_1,D0003_1,purchase,0
